name,rating,atnm,region_name,outdoor_swimming_pool,restaurant,excellent_breakfast,free_parking,free_wifi,fitness_center,breakfast,bar,very_good_breakfast,indoor_swimming_pool,spa,3_swimming_pools,2_swimming_pools,4_swimming_pools,room_service,beachfront,private_beach_area,wifi_in_all_areas
La Quinta by Wyndham Deming,7.1,Hotels,New Mexico,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Elkhorn Lodge,7.9,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Best Western Plus Gallup Inn & Suites,8.2,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Alpine Village Suites,8.8,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Travelodge by Wyndham Farmington Hwy 64,5.5,Motels,New Mexico,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Los Casita Azul- Cozy Blue House,10,Villas,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Super 8 by Wyndham Alamogordo,7.8,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Quality Inn Tucumcari,6.6,Hotels,New Mexico,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Best Western Plus Raton Hotel,8.6,Hotels,New Mexico,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
Comfort Inn & Suites I-25 near Spaceport America,7.4,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Roadrunner Lodge Motel,9,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Las Palomas,8.8,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Red Roof Inn Socorro,7.3,Motels,New Mexico,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
BUTTERFIELD STAGE MOTEL,8.4,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
